,Artist,Song,Lyrics,Sentiment
121,A series of unfortunate events (TV series),That's not how the story goes (reprise),violet baudelaire baudelaires ought prevail tucked someplace olaf captured rotting jail henchpeople violet olaf endings sorrows woes justice parents brave ripe age curtain rings stage violet baudelaire violet olaf endings sorrows woes justice olaf endings sorrows woes justice violet olaf endings sorrows woes justice suppose gloom despair lemony snicket months sleepless began investigate baudelaire orphans despite research unable determine whereabouts sunny baudelaire whistles lemony snicket wherever,Negative
122,A series of unfortunate events (TV series),Volunteers Fighting Disease,beard volunteers volunteers disease cheerful person fiddle dee dee hee hee hee heartshaped balloon visit doctor fiddle dee dee hee hee hee heartshaped balloon visit noses cough bile fiddle dee dee hee hee hee heartshaped balloon measles flu deadly germs fiddle dee dee hee hee hee heartshaped balloon volunteers disease cheerful person visit patients beds cheer donate pee cup fiddle dee dee hee hee hee heartshaped balloon visit victims calm raw throats frown cheerful lyrics pills improve cough visit mouths whose tongues swell sores songs lots sunshine although indoors visit folks leprosy songs careful hall consult list cyst hospital baudelaires totally hospital ashes patients rashes,Positive
123,A series of unfortunate events (TV series),Welcome to the house of freaks,freaks prepare odd physiques relax informal folks grateful normal freaks strangest folks weeks bunch normal shoulders poor hunch freaks weirdos oddest boutiques freak dish portion whose freaky contortion freaks prepared shrieks shocking's candid freak neither handed freaks pupils freaky peeps freaks halfwolf heads freaks freaks hose freaks,Negative
124,A Skylit Drive,Just stay,strength crippled breathing listening missed breathing listening breathing listening,Neutral
125,A song for Orlando,Hands,fires flesh nerve numb cus matters seeing fires seeing matters,Neutral
126,A star is born,Evergreen,soft chair fresh shared rose april snow certain ageless evergreen seldom ev'ry beginning spirits unrehearsed excite brightest sail meaning ageless evergreen,Positive
127,A star is born,Everything,cure traffic jam floods cello monte carlo othello paint yellow portuguese dutch twin who'd grab brass fair invites unfair they'd tide lied,Negative
128,A star is born,Hellacious acres,advertising billboards hellacious acres tailor nightmare traffic backed attendants devilish smiles steady steady tickets steady steady sinfilled amusement park ticket dr jekyll hyde lizzie borden tricky dicky barkin' flashin' pardon ripper slashin' tires president cover overhead opened hellacious acres press agent hang heavies partner's consequences steady steady tickets steady steady sinfilled amusement park ticket dr jekyll hyde study suspicion hellacious acres mischief makers admission's,Neutral
129,A star is born,Lost inside of you,hearing songs,Neutral
130,A star is born,Queen bee,oreos widow sittin' web seeks recover weeks widow mobile eight roam tuck truck wrap snack spider sidle why'd widow's wearin' bee outlive bee's atlantis praying mantis religion sittin' pigeon tease quibble nibble torn messin' hornet blueblooded wasp inject fluid none meat plate rate seventh bee outlive bee's conclusion optical illusion weaker muscle ladies hustle starin' bear stalks hawks brings bread lion regal bold headed eagle fed evenin' adam eva garden serpents frustratin' matin' whoever frustratin' matin' frustratin' matin' swing sequel equal sting zap,Neutral
131,A star is born,Watch closely now,closely observe curious exchange energy figment imagination closely touching arousing riding arising scary closely hunger arise urging faster farther don'tcha takin' chances net teach closely master magician setting straw straw closely,Neutral
132,A star is born (by Bradley Cooper),Alibi,borrow lyin' alibi questions answers direction lyin' alibi dyin' lyin' alibi mornin' bound lyin' alibi dyin' lyin' alibi,Neutral
133,A star is born (by Bradley Cooper),Always remember us this way,arizona buried california couldnt choked lovers poets rhyme choked choked fades,Positive
134,A star is born (by Bradley Cooper),Before I cry,lift spell confusin' repeatin' somethin' crumble,Neutral
135,A star is born (by Bradley Cooper),Black eyes,testify everyones wayside wayside wayside wayside wayside wayside wayside wayside wayside wayside wayside wayside wayside wayside wayside testify everyones everyone's everyone's everyones everyones,Neutral
136,A star is born (by Bradley Cooper),Diggin' my grave,spending saved diggin' hid nail coffin lid diggin' dressed six drowning tidal diggin' dressed six drowning tidal diggin' diggin' diggin diggin diggin diggin diggin diggin diggin diggin diggin diggin diggin diggin diggin diggin diggin diggin diggin diggin,Neutral
137,A star is born (by Bradley Cooper),Fabulous french (Dialogue),jackson maine drag bar ramon papo bbut friday lit shangela server serving fabulous french vocals,Neutral
138,A star is born (by Bradley Cooper),"First stop, Arizona (Dialogue)",ally jackson page ally jackson stop's arizona,Neutral
139,A star is born (by Bradley Cooper),Hair body face,difference witchu loves triple threat triple threat adore triple threat succeed triple threat adore triple threat triple threat prom charm difference witchu loves triple threat succeed triple threat adore triple threat adore lift triple threat lift succeed triple threat adore triple threat adore triple threat adore,Neutral
140,A star is born (by Bradley Cooper),Heal me,treat patient inspire inspire provide spirit dose energy calm alarm spirit equal blessed equal blessed,Positive
141,A star is born (by Bradley Cooper),How do you hear it? (Dialogue),jackson writing ally idea bike jackson,Neutral
142,A star is born (by Bradley Cooper),I'll never love again,gaga could've would've would've sunlight sunlight unless stain bradley cooper sunlight,Neutral
143,A star is born (by Bradley Cooper),I'll never love again (Extended version),sunlight sunlight unless unless sunlight,Neutral
144,A star is born (by Bradley Cooper),I'll wait for you (Dialogue),ally jackson maine brought ally iii ii paint jackson maine ally um,Neutral
145,A star is born (by Bradley Cooper),Intro,instrumental,Neutral
146,A star is born (by Bradley Cooper),Is that alright?,figure kissed interest poems honored grace lift celebration fairytale dinners teachin' grace,Positive
147,A star is born (by Bradley Cooper),I don't know what love is,heart's concerto color courage color,Neutral
148,A star is born (by Bradley Cooper),I love you (Dialogue),jackson songs ally jackson ally jackson,Neutral
149,A star is born (by Bradley Cooper),La vie en rose,yeux font baisser miens rire perd bouche voil portrait retouches l'homme auquel j'appartiens prend ses bras parle bas vois rose dit mots d'amour mots tous jours fait quelque chose entr bonheur connais l'a dit l'a jur ds l'aperois alors sens bat french tips l'a dit l'a jur alors vois rose,Neutral
150,A star is born (by Bradley Cooper),Look what I found,knocking laying foggy loves who'll laying blown who'll c'mon loves who'll laying,Positive
151,A star is born (by Bradley Cooper),Maybe it's time,waits waits folks awaits spirits speaks speaks laughin' speaks worldly reno world's catherine spinning plans,Neutral
152,A star is born (by Bradley Cooper),Memphis (Dialogue),jackson memphis ally rez rushed excited finish album jackson ally iii jackson,Neutral
153,A star is born (by Bradley Cooper),Music to my eyes,spaces harmonize melodies direction musical view lyrics horizon sunrise strings guitar harmonize melodies direction musical,Positive
154,A star is born (by Bradley Cooper),Out of time,instrumental,Neutral
